title,link
要闻,https://news.qq.com/
科技,https://news.qq.com/ch/tech/
财经,https://news.qq.com/ch/finance/
国际,https://news.qq.com/ch/world/
军事,https://news.qq.com/ch/milite/
热问,https://news.qq.com/ch/qa
教育,https://news.qq.com/ch/edu/
娱乐,https://news.qq.com/ch/ent/
电视剧,https://v.qq.com/channel/tv/?ptag=qqnews
体育,https://sports.qq.com/?from=qqnews
NBA,https://sports.qq.com/nba/index.shtml?from=qqnews
汽车,https://news.qq.com/ch/auto/
房产,https://news.qq.com/ch/house/
游戏,https://news.qq.com/ch/games/
健康,https://news.qq.com/ch/health/
科学,https://news.qq.com/ch/kepu/
王者世界,https://h5.ssp.qq.com/lps/production/material/202604/d15e16c3cfcb74cef608ae0dc1a12657.html?sourceType=2&channelIndex=2&oid=82026041034&hidecode=1&isPCPage=1
游戏中心,https://news.qq.com/ch/game_center
更多,None
